"","artist","song","text"
"621","Fiona Apple","Regret","'Member when we argued on the concept of regret?  
You were an expert even then but not me, not yet  
Now all you gotta do's remind me that we met  
And there ya got me, that's how you got me, taught me to regret  
  
'Member how I asked you why are you so mean?  
You didn't know how to yet to bein' seen  
I tried to be your friend, you made me seem so ?  
And there ya got me, that's how you got me, ya taught me to be mean  
  
I ran out of white dove feathers  
To soak up the hot piss that comes through your mouth  
Every time you address me  
  
Oh I ran out of white dove feathers  
To soak up the hot piss that comes through your mouth  
Every time you address me  
  
'Member when I was so sick and you didn't believe me?  
Then you got sick too and guess who took care of you?  
You hated that, didn't you, didn't you?  
Now when you look at me, you're condemned to see  
The monster your mother made you to be  
And there ya got me, that's how you got free, you got rid of me  
  
And now I ran out of white dove feathers  
To soak up the hot piss that comes through your mouth  
Every time you address me  
  
Oh I ran out of white dove feathers  
To soak up the hot piss that comes through your mouth  
Every time you address me  
  
Alone  
Leave me alone  
Leave me alone, leave me alone  
Leave me alone, leave me alone  
Alone

"
"622","Metallica","Fight Fire With Fire","Do unto others as they have done unto you  
But what in the hell is this world coming to?  
  
Blow the universe into nothingness  
Nuclear warfare shall lay us to rest  
  
Fight fire with fire  
Ending is near  
Fight fire with fire  
Bursting with fear  
  
We shall die  
Time is like a fuse, short and burning fast  
Armageddon is here, like said in the past  
  
Fight fire with fire  
Ending is near  
Fight fire with fire  
Bursting with fear  
  
Soon to fill our lungs the hot winds of death  
The gods are laughing, so take your last breath  
  
Fight fire with fire  
Ending is near  
Fight fire with fire  
Bursting with fear  
  
Fight fire with fire

"
"623","X","It's Who You Know","Baby you look like somebody ooh to know  
Like a rose comin' out of a photo  
All your lipstick shows  
I don't want to make you cry  
  
I don't want to even try  
I just want to say I met (meet) you  
It's who you know  
Oh you can talk to me  
  
Make my life complete  
When I think of the ways I can use you  
Get me off the streets  
Then we spend the night in bed  
  
And I can't loose my head  
Even in lovin' it's who you know

"
"624","Green Day","Desensitized","Clenching my teeth tight  
My head is like a sponge  
Give it to me free  
I want to get ripped off  
And drown in the airwaves  
Another fatal wreck  
On the information highway  
So go ahead and kill yourselves  
It all amuses me  
For I'll be damned to spend my life in hell  
Another wise ingrate  
Bring me blood and pain  
Of a stranger's fate  
Give it all away  
Give it to me now  
I'm desensitized  
I want to watch the bomb  
Blow the masses high  
I want to get ripped off  
And drown in the airwaves  
Another fatal wreck  
On the information highway  
So go ahead and kill yourselves  
It all amuses me  
For I'll be damned to spend my life in hell  
Another wise ingrate  
Bring me blood and pain  
Of a stranger's fate  
Give it all away  
I want to get ripped off  
And drown in the airwaves  
Another fatal wreck  
On the information highway  
So go ahead and kill yourselves  
It all amuses me  
For I'll be damned to spend my life in hell  
Another wise ingrate

"
"625","Leonard Cohen","Steer Your Way","Steer your way past the ruins of the Altar and the Mall  
Steer your way through the fables of Creation and The Fall  
Steer your way past the Palaces that rise above the rot  
Year by year, month by month, day by day  
Thought by thought  
  
Steer your heart past the Truth that you believed in yesterday  
Such as Fundamental Goodness and the Wisdom of the Way  
Steer your heart, precious heart, past the women whom you bought  
Year by year, month by month, day by day  
Thought by thought  
Steer you way through the pain that is far more real than you  
That's smashed the Cosmic Model, that blinded every view  
And please don't make me go there, though there be a God or not  
Year by year, month by month, day by day  
Thought by thought  
  
They whisper still, the injured stones  
The blunted mountains weep  
As he died to make men holy  
Let us die to make things cheap  
And say the Mea Culpa, which you probably forgot  
Year by year, month by month, day by day  
Thought by thought  
  
Steer your way, O my heart, though I have no right to ask  
To the one who was never, never equal to the task  
Who knows he's been convicted, who knows he will be shot  
Year by year, month by month, day by day  
Thought by thought  
  
They whisper still, the injured stones  
The blunted mountains weep  
As he died to make men holy  
Let us die to make things cheap  
And say the Mea Culpa, which you gradually forgot  
Year by year, month by month, day by day  
Thought by thought

"
"626","Marilyn Manson","Burning Flag","They wanna sell it out, buy it up  
And dumb it down  
A good god is hard to find  
I'll join the crowd that wants to see me dead  
Right now I feel I belong for the first time  
Multiply your death, divide by sex  
Add up the violence and what do you get?  
We are all just stars and we're waiting  
We are all just scarred and we're hating  
We are all just stars on your burning flag  
  
You can point your gun at me  
And hope it will go away  
But if God was alive  
He would hate you anyway  
  
My right wing is flapping  
The left wing is grey  
Let's hear it for the kids but nothing they say  
They gyrate and G-rate on Election Day  
We got our ABC's and our F-U-C-K  
F-U-C-K  
F-U-C-K  
  
Multiply your death, divide by sex  
Add up the violence and what do you get?  
We are all just stars and we're waiting  
We are all just scarred and we're hating  
We are all just stars on your burning flag  
  
You can point your gun at me  
And hope it will go away  
If God was alive  
He would hate you anyway  
  
We are all just stars and we're waiting  
We are all just scarred and we're hating  
We are all just stars on your burning flag  
Stars on your burning flag  
Stars on your burning flag  
Stars on your burning flag  
Stars on your burning flag  
Stars on your burning flag

"
"627","Queensryche","Surgical Strike","It's lonely in the field  
that we send our fighters to wander  
They leave with minds of steel  
It's their training solution  
We've programmed the way  
It leads us to order  
There's no turning back  
  
A Surgical Strike  
We've taught them not to feel  
performance is their task  
A Surgical Strike  
Its time is arriving now for you  
  
The plan for the day  
will be swift as the lightning they harness  
The atom display is not mindless illusion  
At master control, assessment will not  
Be by humans-There's no turning back  
  
A Surgical Strike  
We've taught them not to feel  
performance is their task  
A Surgical Strike  
Its time is arriving now for you  

"
"628","Vince Gill","These Days","Man, I've seen it all  
I've had my back against the wall  
Pain and misery, empty victories  
Then you came along  
Oh, these days, I'll take these days  
Over any other days I've ever known  
Oh, your sweet ways make these days  
Feel like home  
Man, I've chased some crazy dreams  
Reaching for that big brass ring  
Bitter memories, I've put behind me  
I found out it's the little things  
Oh, these days, I'll take these days  
Over any other days I've ever known  
'Cause your sweet ways make these days  
Feel like home  
Oh, these days, I'll take these days  
Over any other days I've ever known  
Oh, your sweet ways make these days  
Feel like home  
'Cause your sweet ways make these days  
Feel like home  

"
"629","The Temptations","What Now, My Love?","What now my love, now that you've left me  
How can I live through another day  
Watching my dreams turn into ashes  
And my hopes into bits of clay  
Once I could see, once I could feel  
Now I am numb, so numb, I've become unreal  
I walk the night, without a goal  
Stripped off my heart and my soul  
What now my love, now that it's over  
I feel the world closing in on me  
Here come the stars, baby, tumbling around me  
There's the sky, where the sea should be  
What now my love, now that you're gone  
I'd be a fool, I'd be a fool to go on and on and on and on  
I know that no one would care, baby, no one would cry  
If I should live or die, no one would care, if I should live or die, oh, oh  
What now my love, now that there is nothing  
Only my last, my last goodbye  
What now my love, what now my love  
What now my love  

"
"630","Chris Brown","All About You","How did you get so young  
I heard you were born today  
Heard that you came and found  
The sky and I just wanna say  
Look up the world is glad here to stay  
Have fun is time to give another day  
Sometimes the fire gets in your way  
That ain't nothing  
You can't blow away  
  
So make a wish  
I will have one too  
I wish I can stay with you  
Wish you knew  
How... Wishes to come true  
It's all about you  
It's all about you  
Today  
  
It's all about you (repeat)  
  
Girl do you want  
I swear I'll give you everything  
Look upfront flowers...  
Look up the world is glad here to stay  
Have fun is time to give another day  
Sometimes the fire gets in your way  
That ain't nothing  
You can't blow away  
  
So make a wish  
I will have one too  
I wish I can stay with you  
Wish you knew  
How... Wishes to come true  
It's all about you  
It's all about you  
Today

"
"631","Religious Music","God Bless America","Spoken Introduction:  
While the storm clouds gather far across the sea,  
Let us swear allegiance to a land that's free,  
Let us all be grateful for a land so fair,  
As we raise our voices in a solemn prayer.  
  
Song:  
God bless America,  
Land that I love.  
Stand beside her, and guide her,  
Through the night with the light from above.  
  
From the mountains, to the prairies,  
To the oceans, wide with hope,  
God bless America,  
My home sweet home.  
  
God bless America,  
Land that I love.  
Stand beside her, and guide her,  
Through the night with the light from above.  
  
From the mountains, to the prairies,  
To the oceans, wide with hope,  
God bless America,  
My home sweet home.  
  
From the mountains, to the prairies,  
To the oceans, wide with hope,  
God bless America,  
My home sweet home.  
  
God bless America,  
My home sweet home.

"
"632","Green Day","Holiday","Hear the sound of the falling rain  
Coming down like an Armageddon flame (Hey!)  
A shame  
The ones who died without a name  
  
Hear the dogs howlin' out of key  
To a hymn called faith and misery (Hey!)  
And bleed, the company lost the war today  
  
I beg to dream and differ from the hollow lies  
This is the dawning of the rest of our lives  
On holiday  
  
Hear the drum pounding out of time  
Another protester has crossed the line (Hey!)  
To find, the money's on the other side  
  
Can I get another Amen (Amen!)  
There's a flag wrapped around a score of men (Hey!)  
A gag, A plastic bag on a monument  
  
I beg to dream and differ from the hollow lies  
This is the dawning of the rest of our lives  
On holiday  
  
""The representative from California has the floor""  
  
Sieg Heil to the president gasman  
Bombs away is your punishment  
Pulverize the Eiffel towers  
Who criticize your government  
Bang bang goes the broken glass and  
Kill all the fags that don't agree  
Trials by fire setting fire  
Is not a way that's meant for me  
Just cause  
Just cause  
Because we're outlaws yeah!  
  
I beg to dream and differ from the hollow lies  
This is the dawning of the rest of our lives  
I beg to dream and differ from the hollow lies  
This is the dawning of the rest of our lives  
This is our lives on Holiday

"
"633","Metallica","Last Caress","I got something to say  
And I killed a baby today  
And it doesn't matter much to me  
As long as it's dead  
Well I got something to say  
I raped your mother today  
And it doesn't matter much to me  
As long as she spread  
Sweet lovely death  
I am waiting for your breath  
Come sweet death, one last caress  
Go  
Sweet lovely death  
I am waiting for your breath  
Come sweet death, one last caress  
Well, I got something to say  
I killed your baby today  
And it doesn't matter much to me  
As long as it's dead  
Sweet lovely death  
I am waiting for your breath  
Come sweet death, one last caress  
One last caress, sweet death  
One last caress, sweet death  

"
"634","Puff Daddy","Worl'd Greatest","I am a mountain, I am a tall tree, oh  
I am a swift wind sweepin' the country  
I am a river down in the valley, oh  
I am a vision and I can see clearly  
  
If anybody asks you who I am  
Just stand up tall  
Look em' in the face and say  
  
Chorus:  
I'm that star up in the sky  
I'm that mountain peak up high  
Hey, I made it mm..  
I'm the world's greatest  
And I'm that little bit of hope  
When my back's against the ropes  
I can feel it mm..  
I'm the worlds greatest  
  
I am a giant, I am an eagle, oh  
I am a lion, down in the jungle  
I am a marchin' band, I am the people, oh  
I am a helpin' hand, I am a hero  
  
If anybody asks you who I am  
Just stand up tall  
Look em' in the face and say  
  
Chorus  
  
In the ring of life I'll reign love  
(I will reign)  
And the world will notice a king  
(Oh yeah..)  
When all is darkest, I'll shine a light  
(Shine a light)  
And use the success you find in me  
(Me..)  
  
Chorus 3x  
  
1-It's the greatest  
Can you feel it repeat 10x  
  
While Repeating of 1-  
I saw the light  
At the end of a tunnel  
Believe in the pot of gold  
At the end of the rainbow  
And faith was right there  
To pull me through, yeah  
Used to be locked doors  
Now I can just walk on through  
Hey, uh, hey, hey, hey  
It's the greatest  
I'm that star up in the sky  
  
Chorus

"
"635","Hillsong","In The Mystery","In Your name  
There is hope when all seems lost  
There is freedom in the power of the cross  
Let the world see  
  
In Your name  
There is truth where logic fails  
Understanding that makes sense of our days  
You are worthy  
  
Hear the sound of all creation roar  
We're crying out as one  
To You our God  
Now show us the way of Your love  
And we will come running  
  
[Chorus]  
All for Jesus name  
Your love displayed  
We are alive in the mystery  
All for sinners' gain  
Your life You gave  
We'll sing Your praise for eternity  
  
In Your name  
There is mercy without end  
Overtaking us now time and again  
Let the world see  
In Your name  
There is love that never fails  
And the promist that Your love will prevail  
You are worthy  
  
Hear the sound of all creation roar  
We're crying out as one  
To You our God  
Now show us the way of Your love  
And we will come running  
  
[Chorus: x 2]  
  
Hallelujah  
Hallelujah  
Hallelujah  
Great is Your name  
Great is Your name [Repeat: x 2]  
  
Hear the sound of all creation roar  
We're crying out as one  
To You our God  
Now show us the way of Your love  
And we will come running  
  
[Chorus: x 2]  
  
Hallelujah  
Hallelujah  
Hallelujah  
Great is Your name  
Great is Your name [Repeat: x 4]

"
"636","Procol Harum","The Milk Of Human Kindness","When you knew that I had given all the kindness that I had  
Did you think that it might be time to stop?  
When you knew that I was through  
That I'd done all I could do  
Did you really have to milk the final drop?  
Not content with my mistake  
You behaved just like a snake  
And you left me for a wasp without a sting  
Tell all my friends back home  
That I did it on my own  
And that to their well-worn cares they should cling  
  
When you knew that I had given all the kindness that I had  
Did you feel you had to break that lonely vow?  
When you knew that I was through  
That I'd done all I could do  
Did you really have to sow that final plough?  
Not content with my mistake, you behaved just like a snake  
And you left me for a wasp without a sting  
Tell all the folks back home that he did it on his own  
And that to their well-worn cares they should cling

"
"637","Natalie Imbruglia","I've Been Watching You","When the rose.  
Slaps your face  
Says your pain is a state of grace (I think that's right)  
Mirror cracks  
Image bleeds  
He'll touch your desires  
But not your needs  
  
I stand at an open window  
I see everything there is to see  
I've been watching you  
Isn't it true the fool keeps taking you down down  
Taking you  
I've been watching you  
Isn't it true the world keeps taking you down down  
Taking you  
  
Party ends  
On the floor  
Hear a voice  
Behind the door  
In the dark  
You play his games  
Forget yourself  
Forget your name  
  
I stand at an open window  
I see everything there is to see  
I've been watching you  
Isn't it true the fool keeps taking you down down  
Taking you  
I've been watching you  
Isn't it true the world keeps taking you down down  
Taking you  
  
So there you are all dressed in black  
Walk away and don't look back  
But if you must then cast a stone  
The light is on but there's nothing and no one home (I think)  
  
Cos I've been watching you  
Isn't it true the fool keeps taking you down down  
Taiking you  
I've been watching you  
Isn't it true the world keeps taking you down down  
Taking you  
  
I said I I've been watching you  
Isn't it true the fool keeps taking you down down  
Taking you  
I've been watching you  
Isn't true the world keeps taking you down down  
Taking you down.

"
"638","Randy Travis","Memories Of Old Santa Fe","As blue shadows fall  
Across the canyon wall  
The cattle are quiet and still  
Dusty, sore and tired  
I build myself a fire  
As a full moon  
Peaks over the hills.  
  
A blanket for my bed  
A saddle for my head  
I'll sleep  
But in my dreams I'll stray  
Back across the miles  
To where my darlin' smiles  
In memories of old Santa Fe.  
  
Adios mi corinyo  
She told me that day  
As I kissed her softly  
And then rode away.  
Now I lie beneath the stars  
Without her in my arms  
So lonesome  
And so far away  
But each night  
I go back there  
In my dreams  
And in my prayers  
And in memories of old Santa Fe.  
  
Adios mi corinyo  
She told me that day  
As I kissed her softly  
And then rode away.  
  
She's waitin'  
There I know  
But for now  
All I can hold  
Are my memories  
Of old Sata Fe

"
"639","Air Supply","What Kind Of Girl","What kind of man is enough to begin to understand  
How love begins so small  
From that first day when she wakes and your arms are all she has  
To hold on to  
You'll never let her go and you say  
What kind of girl.  
  
You'll never run anymore now that the world has come alive  
For you, you'll say (how did I once survive)  
What kind of girl does it take that gives everything she has  
Always you know you'll never let her go  
And you'll say what kind of girl  
  
CHORUS  
What kind of girl  
What kind of girl  
What kind of girl  
What kind of girl  
  
From that first day when she wakes and your arms are all she has  
To hold on to  
You'll never let her go and you say  
What kind of girl  
  
CHORUS  

"
"640","Neil Young","Big Time","Gonna leave the pain behind  
Gonna leave the fools in line  
Gonna take the magic potion  
Gettin' in an old black car  
Gonna take a ride so far  
To the land of sun tan lotion  
Gonna take it state by state  
Til I hit the golden gate  
Get my feet wet in the ocean  
  
I'm still living  
In the dream we had,  
For me it's not over...  
  
Walkin on the bridge on day  
Lookin out across the bay  
I saw a rippling in the water  
Once a big ship had passed  
I borrowed a traveller's glass  
And focused on  
The ocean's daughter  
Kind of like a wave confused  
Dancing in the sunset hews  
She waved to me  
And called me over  
  
I'm still living  
In the dream we had,  
For me it's not over...  
  
Talkin' bout a friend of mine  
Talkin' bout a gold mine  
Richest vein in any mountain  
Talkin' bout the enemy  
Inside of me  
Talkin' bout  
That youthful fountain  
Talkin' bout you and me  
Talkin' bout eternity  
Talkin' bout the big time  
  
I'm still living  
In the dream we had,  
For me it's not over...

"
"641","Gary Numan","I Still Remember","So you've gone  
Singing some old love song  
I've nothing more to lose  
  
I'm surrounded  
By old stories  
With nowhere to hide  
  
I could tear  
All your pictures  
I could tear everything  
  
You told me  
Time makes it easy but you  
Never told me time stands still  
  
I can't believe it  
I can't believe how it hurts  
I can't believe it  
I can't believe how love burns away  
  
I remember  
  
I can't sleep  
All your words  
Seem to let me down  
  
Where are you  
Why don't you call  
It's been a long long time  
  
I still remember  
I still remember it all  
I still remember  
I still remember how love burned away  
  
This could be  
My last song  
Everything must end some day  
  

"
"642","Oliver","I'd Do Anything","I'd do anything for you dear  
anything  
for you mean everything  
to me  
  
I know that  
I'd go anywhere for your smile  
anywhere  
for your smile  
everywhere I see  
  
Would you climb a hill?  
Anything  
Wear a dafodill?  
Anything  
Leave me all your will?  
Anything  
Even fight my Bill?  
What fisticuffs?  
  
I'd risk everything for one kiss  
everything  
Yes I'd do anything  
Anything?  
Anything for you  
  
I'd do anything for you dear  
anything  
for you mean everything  
to me  
  
I know that  
I'd go anywhere for your smile  
anywhere  
for your smile  
everywhere I see  
  
Would you lace my shoe?  
Anything  
Paint your face bright blue?  
Anything  
Catch a kangaroo?  
Anything  
Go to Timbuctu?  
And back again  
  
I'd risk everything for one kiss  
everything  
Yes I'd do anything  
Anything?  
Anything for you  
  
I'd go anywhere for your smile  
anywhere  
for your smile  
everywhere I see  
  
I know that  
I'd do anything for you dear  
anything  
for you mean everything  
to me  
  
To me!  
To me!  
To me!  
To me me me me me!  
  
I'd do anything for you dear  
anything  
Yes I'd do anything  
Anything?  
Anything for you  
  
Would you rob a shop?  
Anything  
Would you risk the drop?  
Anything  
Though your eyes go POP!  
Anything  
When you come down PLOP!  
Hang everything  
  
We'd risk life and limb  
To keep you in the swim  
Yes we'd do anything  
Anything?  
Anything for you

"
"643","Alphaville","Seeds","Little darling  
On the factory floor  
Sirens are wailing  
They are calling you like lovers  
They always want more  
  
Department 27  
Deep down below  
You are piecing together  
The seeds of the world  
  
Ashen roses  
Growing darkness  
Starving children  
Someday you stand up and dance  
  
Glittering sunlight,  
Keep on shining  
And put them together  
The seeds of the world  
  
Binding all the flowers of the world  
Start bursting into millions of colours  
Unfold all the flags of the nations  
Kiss me again, let the battle start  
  
Little darling  
What have you done  
Hearts are breaking  
Live without ending,  
Numberless men  
  
Never relaxing  
I have to see it all  
Fire, desert, cold and arid  
And all in a flash  
  
Binding all the flowers of the world  
Start bursting into millions of colours  
Unfold all the flags of the nations  
Kiss me again, let the battle start

"
"644","Eurythmics","Beethoven","Take a girl like that  
And put her in a natural setting  
Like a cafe for example.  
Along comes the boy  
And he's looking for trouble  
With a girl like that  
With a girl like that.  
Who knows what they'll decide to do.  
Who knows what they'll get up to.  
I'd love to know.  
Wouldn't you?  
  
I love to listen to beethoven...  
  
You think you know just what you want  
But you have used that weapon agianst me.  
Did I tell you I was lying by the way  
When I said I wanted a new mink coat.  
I was just thinking about  
Something sleek  
To wrap around my tender throat  
I was dreaming like a texan girl  
A girl who thinks she's got the right to everything.  
A girl who thinks she should have  
Something extreme.  
  
I love to listen to beethoven...

"
"645","Ian Hunter","Just The Way You Look Tonight","I fell in love with a working girl  
We both grew up in a working world  
Julie Christie jaw full 'o' them pearly whites  
Just the way you look tonight  
  
She never bought herself the finest clothes  
She couldn't care less about buttons and bows  
She says what counts is what's inside  
It's just the way you look tonight  
  
It's just the way you look tonight  
You got the face of an angel  
I can feel your halo burnin' bright  
Just the way you look tonight  
  
There ain't no makeup, not a trace  
She can cut you off and put you in your place  
Her bark has gotta be worse than her bite  
Just the way you look tonight  
  
It's just the way you look tonight  
You got the face of an angel  
I can feel your halo burnin' bright  
Just the way you look tonight  
  
It's West Side Story  
Only two lovers could tell  
When you walked in the room  
Everything stopped  
It's inevitable  
Inevitable  
  
I fell in love with a working girl  
It works for me 'n' it works for her  
When we get it on lightning strikes  
It's just the way you look tonight  
  
It's just the way you look tonight  
You got the face of an angel  
I can feel your halo burnin' bright  
Just the way you look tonight

"
"646","Vince Gill","When I Call Your Name","I rushed home from work like I always do  
I spent my whole day just thinking of you  
When I walked through the front door my whole like was changed  
Cause nobody answered when I called your name  
  
A note on the table that told me goodbye  
It said you'd grown weary of living a lie  
Your love has ended but mine still remains  
But nobody answers when I call your name  
  
Oh the lonely sound of my voice calling  
Is driving me insane  
And just like rain the tears keep falling  
Nobody answers when I call your name  
  
Oh the lonely sound of my voice calling  
Is driving me insane  
And just like rain the tears keep falling  
Nobody answers when I call your name  
Oh nobody answers when I call your name

"
"647","Maroon 5","To Her, With Love","See my dear I'm thinking of you  
My how she has grown  
Her building blocks have all gone home  
And being there is always where  
I'll be  
You'll see  
  
Take your doll  
House dreams and make them real  
I've seen the sun  
I'll guide your  
Inspirations along  
And don't let them stop you from being someone's friend  
Don't bend  
  
I hope you  
Always keep your hand this close to mine  
And I hope you  
Never hesitate to wonder why  
Wonder why  
Wonder why  
If you need a shoulder mine is here  
And I love you  
And no one can tell you what to do  
And roses and diamonds could never take  
The place  
Of your face  
I hope you  
Never hesitate to wonder why  
Wonder why  
Wonder why

"
"648","John Denver","Black Bird Fly","Packed up all my cares and woes  
Here I go soft and low  
Bye, bye, black bird singing in the dead of night.  
Take these broken wings and learn to fly  
All your life, you were only waiting for this moment to arise  
  
Black bird sing in the dead of night  
Take these sunken eyes and learn to see  
All your life, your were only waiting for this moment to be free  
Black bird fly, Black bird fly  
Into the light of the black dark night  
  
Black bird fly, black bird fly  
Into the light of the dark black  
  
Black bird singing in the dead of night  
Take these broken wings and learn to fly  
All your life, you were only waiting for this moment to arrive  
  
Make my bed, and light the light I'll be home late tonight  
Black bird, bye, bye

"
"649","Aerosmith","Voodoo Medicine Man","Read it in the papers, it ain't fair  
You know who today don't seem to care  
Livin' lovin' gettin' loose  
Masturbatin' with a noose  
Now someone's kickin' out the chair  
Yeah, yeah, yeah, yeah  
Some kind of Voodoo  
Come across this land  
Some kind of Voodoo  
We need a medicine man  
Everybody's lookin' at the sky  
Can't believe the cover ups and lies  
They been tellin' us since birth  
Pissin' off old Mother Earth  
My gones are by-gones prophesized  
Come on  
Some kind of Voodoo  
Come across this land  
Some kind of Voodoo  
We need a medicine man  
Yeah, yeah, yeah, yeah  
Oh, oh, oh, oh  
Wonder should I go or should I stay  
What we got ain't working any way  
I did my best, God knows I've tried  
I feel like I've been crucified  
Why did you, why did you,  
Why did you take it all away  
Voodoo, Voodoo, Medicine Man...  

"
"650","Robbie Williams","I Tried Love","Is the Richard Gere Gerbil story true  
Who came third in World War 2  
Did Sooty sleep with Sue,  
These things I think about,  
When I'm with out with you...  
What are the holes in biro's for  
Which one's which in the Corrs  
Did Geff Hurst really score,  
Coz frankly your a bore,  
And I'm not...  
And if it's leavin' season your second on the bill  
If you wont leave me baby i'll find someone who will,  
I tried love, I'm sorry  
I tried love...  
Does God ever get it wrong  
Where has Gary Barlow gone  
Why is Christmas Day so long  
It just goes on and on... And on,  
Like you,  
And if it's leavin' season your the second on the bill  
If you wont leave me baby i'll find someone who will,  
I tried love, I'm sorry  
I tried love...  
Do duh duh duh duh duh duh,  
Duh duh, duh duh...  
Do duh duh duh duh duh duh,  
Duh duh, duh duh,  
I tried love, I'm sorry  
I tried love...  
Why is there ketchup on my sleeve  
Do you think Adam fancied Eve  
What if Eve could not conceve  
And he had to breed with Steve,  
We'd all be gay....  
(Laughs......)

"
"651","Drake","Say What's Real","Why do I feel so alone?  
Like everybody passing through the studio  
Is in character as if we acting out a movie role  
Talking bullshit as if it was for you to know  
And I don't have the heart to give these  
Bitch ass niggas the cue to go  
So they stick around kicking out feedback  
And I entertain it as if I need that  
I had a talk with my uncle and he agreed that  
My privacy about the only thing I need back but  
It's hard to think of them polite flows  
Mr. Fano Poloto suits are your night clothes  
And Jordan sweat suits are your flight clothes  
And you still make it even when they say your flight closed  
Eyes hurting from the camera phone light shows  
Life was so full  
Now this shit just being lipo'd  
Always said I'd say it all on the right track  
But in this game you only lose when you fight back  
Black diamond bracelets  
Showing you the basics  
I can't live and hold the camara  
Someone gotta tape this  
I make hits unlike a bitch  
That's married I ain't miss  
24 hours from greatness  
I'm that close  
Don't ever forget the moment  
You began to doubt  
Transitioning from fitting in to standing out  
Los Angeles Cabanas or Atlanta South  
Watchin' whole show  
Embarrassed to pull my camera out  
And my mother embarrassed  
To pull my Phantom out  
So I park about 5 houses down  
She say I shouldn't have it until I have the crown  
But I don't wanna feel the need to wear disguises around  
So she wonder where my mind is accounts in the minus  
But yet I'm rolling round the fuckin' city like your highness  
Got niggas reactin' without a sinus  
'Cause what I'm working with is timeless  
And promoters try to get me out to they club  
They say I have fun but I can't imagine how  
'Cause I just seen my ex-girl  
Standing with my next girl  
Standing with the girl that I'm fuckin' right now  
And shit could get weird unless they all down  
And so I stay clear  
  
We from a small town  
Everybody talks and everybody listen  
But somehow the truth just always comes up missing  
I've always been something that these labels can't buy  
Especially if they tryin' to take a peice of my soul  
And Sylvia be tellin' Tez ""Damn Drake fly""  
And he just be like ""Silly mother fucker I know""  
That was your bad  
How could you pass up on 'em?  
He just take them records  
And he gas up on 'em  
Wayne will prolly put a million cash up on 'em  
Surprised no one ever put your ass up on 'em  
Oh they did Po  
At least they tried to  
And that's what happens  
When you spitting what's inside you  
But slip up and shoot the wrong fucking video  
And they think they can market you  
However they decide to nahh  
But Forty told me to do me  
And don't listen to anybody that knew me  
'Cause to have known me would  
Mean that there's a new me  
And if you think I changed in the slightest  
Could of fooled me  
Boy in my city I'm da 2-3  
Drug dealers live vicariously through me  
I quit school and it's not because I'm lazy  
I'm just not the social type  
And campus life is crazy understand  
I could get money with my eyes closed  
Lost some of my hottest verses down in Cabo  
So if you find a Blackberry with the side scroll  
Sell that mothafucka to any rapper that I know  
'Cause they need it much more than I ever will  
I got new shit  
I'm gettin' better still  
Little niggas put my name in they verses  
'Cause they girlfriend put my ass on a pedestal  
Future said 'cause this 'Ye shit you better kill  
And I think this got this ""Making of a Legend"" feel  
Problem with these other niggas they  
Ain't never real  
Yea that's all I can say

"
"652","Waylon Jennings","If You See Her","If you see her and she mentions my name  
Tell her the times have but I have not changed  
All my friends know that I still feel the same  
If you see her and she mentions my name  
  
If you see her ask her for me  
If the dreamer in her ever set her free  
Does she know now what the words I sing mean  
If you see her would you ask her for me  
  
[Chorus]  
Everything I told her then was true  
Everything was true at the time  
But time has a way of changing everything  
The truth has a way of changing all the time  
  
If you see her and she mentions my name  
Tell her for me that she was not to blame  
There's no reason now for her to feel ashamed  
If you see her and she mentions my name  
  
[Chorus]  
  
If you see her and she mentions my name  
Tell her the times have but I have not changed  
All my friends know that I still feel the same  
If you see her and she mentions my name

"
"653","Warren Zevon","Genius","I've got a bitter pot of je ne sais quoi  
Guess what---I'm stirring it with a monkey's paw  
Since I saw you coming out of my barber's shop  
In that skimpy little halter top  
  
Did you light the candles? Did you put on ""Kind of Blue""?  
Did you use that Ivy Leaage voodoo on him, too?  
He thinks he'll be alright but he doesn't know for sure  
Like every other unindicted coconspirator  
  
Mata Hari had a house in France  
Where she worked on all her secret plans  
Men were falling for her sight unseen  
She was a genius  
  
There's a face in every window of the Songwriter's Neighborhood  
Everybody's your best friend whey you're doing well--I mean good  
The poet who lived next door when you were young and poor  
Grew up to be a backstabbing entrepreneur  
  
Albert Einstein was a ladies' man  
While he was working on his universal plan  
He was making out like Charlie Sheen  
He was a genius  
  
When you dropped me and you staked your claim  
On a V.I.P. who could make your name  
You latched on to him and I became  
A minor inconvenience  
  
Your protege don't care about art  
I'm the one who always told you you were smart  
You broke my heart into smithereens  
And that took genius  
  
You and the barber make a handsome pair  
Guess what---I never liked the way he cut your hair  
I didn't like the way he turned your head  
But there's nothing I can do or say I haven't done or said  
  
Everybody needs a place to stand  
And a method for their schemes and scams  
If I could only get my record clean  
I'd be a genius

"
